id,numer,historia_cen
215,0.1,[]
513,0.1,[]
514,0.2,[]
216,0.2,[]
544,0.3,"[{""cena"":418352,""data"":""2026-03-09T23:00:00""},{""cena"":408844,""data"":""2026-03-03T23:00:00""}]"
217,0.3,"[{""cena"":418352,""data"":""2026-03-09T23:00:00""},{""cena"":408844,""data"":""2026-03-03T23:00:00""}]"
516,0.4,[]
219,0.4,[]
218,0.5,[]
517,0.5,[]
518,0.6,"[{""cena"":782773,""data"":""2026-03-09T23:00:00""}]"
226,0.6,"[{""cena"":782773,""data"":""2026-03-09T23:00:00""}]"
228,0.7,[]
519,0.7,[]
225,0.8,[]
520,0.8,[]
227,1.10,[]
522,1.10,[]
236,1.11,[]
523,1.11,[]
235,1.12,[]
546,1.12,[]
239,1.13,[]
525,1.13,[]
526,1.14,[]
237,1.14,[]
548,1.15,[]
238,1.15,[]
528,1.16,"[{""cena"":688430,""data"":""2026-03-09T23:00:00""}]"
249,1.16,"[{""cena"":688430,""data"":""2026-03-09T23:00:00""}]"
529,1.17,[]
247,1.17,[]
521,1.9,[]
229,1.9,[]
246,2.18,[]
530,2.18,[]
248,2.19,[]
531,2.19,[]
245,2.20,[]
532,2.20,[]
259,2.21,[]
533,2.21,[]
258,2.22,[]
556,2.22,[]
257,2.23,[]
535,2.23,[]
255,2.24,[]
536,2.24,[]
256,2.25,[]
537,2.25,[]
538,2.26,[]
269,2.26,[]
268,3.27,"[{""cena"":955944,""data"":""2026-05-12T22:00:00""},{""cena"":934218,""data"":""2026-03-10T23:00:00""}]"
553,3.27,"[{""cena"":955944,""data"":""2026-05-12T22:00:00""},{""cena"":934218,""data"":""2026-03-10T23:00:00""}]"
265,3.28,[]
540,3.28,[]
541,3.29,[]
266,3.29,[]
557,3.30,[]
267,3.30,[]
552,3.31,"[{""cena"":974864,""data"":""2026-05-12T22:00:00""},{""cena"":952708,""data"":""2026-03-10T23:00:00""}]"
275,3.31,"[{""cena"":974864,""data"":""2026-05-12T22:00:00""},{""cena"":952708,""data"":""2026-03-10T23:00:00""}]"
555,B0.2,"[{""cena"":562526,""data"":""2025-09-03T22:00:00""}]"
1,B0.2,"[{""cena"":562526,""data"":""2025-09-03T22:00:00""}]"
547,C0.4,"[{""cena"":547008,""data"":""2025-09-03T22:00:00""}]"
3,C0.4,"[{""cena"":547008,""data"":""2025-09-03T22:00:00""}]"
